Key,en,pt,de,es,kr,it
db.messages.parser.error-sql-invalid-column-name,"""{{str}}"" must not be used as a column-name","""{{str}}"" não pode ser usado como nome de coluna","""{{str}}"" darf nicht als name einer Spalte verwendet werden","""{{str}}"" no debe ser utilizado como nombre de columna","""__str__""은 열 이름으로 사용할 수 없음","""{{str}}"" non deve essere usato come nome di colonna"
db.messages.parser.error-sql-group-by-missing,group by is missing,group by está ausente,group-by-Klausel fehlt,group by no se encuentra,group by 없음,manca “group by”
db.messages.parser.error-sql-having-without-group-by,"having found but missing ""group by"" or aggregation","“having” encontrado, mas sem ""group by"" ou agregação","having-Klausel gefunden doch ""group by"" or Aggregation fehlt","se ha encontrado pero no se encuentra ""group by"" ó agregación","""group by"" 또는 집계 없음","“having” senza ""group by"" o aggregazioni"
db.messages.parser.error-sql-negative-limit,the limit given must be >= 0,o limite dado precisa ser >= 0,das Limit muss größer oder gleich 0 sein,el límite dado debe ser >= 0,0 이상이어야 함,il limite dato deve essere >= 0
db.messages.parser.error-sqldump-invalid-column-number,invalid number of columns in line {{line}},número inválido de colunas na linha {{line}},ungültige Spaltenanzahl in Zeile {{line}},número inválido de columnas en línea {{line}},__line__ 에서 유효하지 않은 열,numero di colonne non valido in linea {{line}}
db.messages.parser.error-sqldump-invalid-type,invalid type in line {{line}},tipo inválido na linha  {{line}},ungültiger Typ in Zeile {{line}},tipo inválido en línea {{line}},__line__ 에서 유효하지 않은 타입,tipo non valido in linea {{line}}
db.messages.parser.error-sqldump-insert-wrong-number-columns,number of values != number of columns,número de valores != número de colunas,Anzahl der Werte != Anzahl der Spalten,número de valores != número de columnas,값의 숫자 !=  열의 숫자,numero di valori != numero di colonne
db.messages.parser.error-valueexpr-like-operand-no-string,right operand of LIKE must be a string literal,operando direito de LIKE deve ser uma string literal,der rechte Operand von LIKE muss ein Zeichenkettenliteral sein,operando derecho de LIKE debe ser una cadena literal,LIKE의 오른쪽 피연산자는 문자열 리터럴이어야 함,l’operando destro di LIKE deve essere un letterale stringa
db.messages.exec.error-column-not-unique,"could not add column ""{{column}}"" because of ambiguity","não é possível adicionar a coluna ""{{column}}"" devido à ambiguidade","Spalte ""{{column}}"" kann wegen mehrdeutigkeit nicht hinzugefügt werden","no se pude agregar columna ""{{column}}"" por ambiguedad","모호성 때문에 열 ""__column__"" 을 추가할 수 없음","non posso aggiungere la colonna ""{{column}}"" perché ambigua"
db.messages.exec.error-column-not-found-name,"could not find column ""{{column}}"" in schema {{schema}}","não foi possível encontrar a coluna ""{{column}}"" no esquema {{schema}}","Spalte ""{{column}} wurde im Schema {{schema}} nicht gefunden","no se pude encontrar columna ""{{column}}"" en esquema {{schema}}","스키마 __schema__ 에서 열 ""__column__"" 을 찾을 수 없음","Impossibile trovare la colonna ""{{column}}"" nello schema {{schema}}"
db.messages.exec.error-column-not-found-index,"column index ""{{column}}"" is out of range in schema {{schema}}; index starts at 1","índice da coluna ""{{column}}"" está fora do intervalo no esquema {{schema}}; índice começa em 1","Spaltenindex ""{{column}}"" ist ausserhalb des Gültigkeitsbereichs für Schema {{schema}}; Indizes starten mit 1","índice de columna ""{{column}}"" está fuera de rango en equema {{schema}}; index starts at 1","열 인덱스  ""__column__"" 는 범위를 벗어남; 인덱스는 1에서 시작","L'indice della colonna ""{{column}}"" è fuori intervallo nello schema {{schema}}; l'indice inizia da 1"
db.messages.exec.error-column-ambiguous,"column ""{{column}}"" is ambiguous in {{schema}}","coluna""{{column}}"" é ambígua em {{schema}}","Spalte ""{{column}}"" ist mehrdeutig im Schema {{schema}}","columna ""{{column}}"" es ambigua en esquema {{schema}}","열 ""__column__"" 는 스키마  __schema__ 에서 모호함","La colonna ""{{column}}"" è ambigua in {{schema}}"
db.messages.exec.error-column-index-out-of-range,"column index ""{{column}}"" is out of range in  {{schema}}; index starts at 1","índice da coluna ""{{column}}"" está fora do intervalo no esquema {{schema}}; índice começa em 1","Spaltenindex ""{{column}}"" ist ausserhalb des Gültigkeitsbereichs für Schema {{schema}}; Indizes starten mit 1","índice de columna ""{{column}}"" está fuera de rango en equema {{schema}}; índice comienza en 1","열 인덱스  ""__column__"" 는 범위를 벗어남; 인덱스는 1에서 시작","L'indice della colonna ""{{column}}"" è fuori intervallo in {{schema}}; l'indice inizia da 1"
db.messages.exec.error-could-not-change-rel-alias-ambiguity,"could not set relation alias ""{{alias}}"" because of ambiguity",não é possível definir o ”alias” da relação “{{alias}}” por causa da ambiguidade,"Relations alias ""{{alias}}"" kann wegen Mehrdeutigkeit nicht gesetzt werden","no se pudo establecer relación alias ""{{alias}}"" por ambiguedad","모호성 때문에 릴레이션 가명 ""__alias__""을 사용할 수 없음 ","Impossibile impostare l'alias di relazione ""{{alias}}"" a causa di ambiguità"
db.messages.exec.error-could-not-rename-ambiguity,"could not set new name ""{{newName}}"" for ""{{oldName}}"" because of ambiguity in {{schema}}","não é possível definir o novo nome ""{{newName}}"" para ""{{oldName}}"" devido à ambiguidade em {{schema}}","neuer Name ""{{newName}}"" für ""{{oldName}}"" kann wegen Mehrdeutigkeit nicht gesetzt werden im Schema {{schema}}","no se pudo establecer nuevo nombre ""{{newName}}"" para ""{{oldName}}"" por ambiguedad en el equema {{schema}}","스키마 __schema__ 에서의 모호성 때문에 ""__oldName__""을 위한 새로운 이름 ""__newName__"" 을 설정 할 수 없음","Impossibile impostare il nuovo nome ""{{newName}}"" per ""{{oldName}}"" a causa di ambiguità in {{schema}}"
db.messages.exec.error-schema-a-not-part-of-schema-b,schema {{schemaA}} is not part of {{schemaB}},esquema {{schemaA}} não é parte de {{schemaB}},Schema {{schemaA}} ist nicht Teil von {{schemaB}},esquema {{schemaA}} no es parte de {{schemaB}},스키마  __schemaA__ 는 __schemaB__ 의 부분이 아님,Lo schema {{schemaA}} non fa parte di {{schemaB}}
db.messages.exec.error-schemas-not-unifiable,schemas are not unifiable: types are different or size is different: {{schemaA}}  and {{schemaB}},os esquemas não podem ser unificados: os tipos ou o tamanho diferem: {{schemaA}} e {{schemaB}},Schemas sind nicht unifiable: Typen oder Anzahl der Attribute ist unterschiedlich: {{schemaA}}  and {{schemaB}},esquemas no son unificables: los tipos son diferentes ó los tamaño son diferentes: {{schemaA}}  y {{schemaB}},스키마들은 통합될 수 없음: 타입들은 다르거나 사이즈들이 다르다: __schemaA__  와 __schemaB__,Gli schemi non sono unificabili: i tipi sono diversi o le dimensioni sono diverse: {{schemaA}} e {{schemaB}}
db.messages.exec.error-column-not-in-both-schemas,"column ""{{column}}"" can not be found in both schemas of join","coluna ""{{column}}"" não pode ser encontrada em ambos os esquemas de junção","Spalte ""{{column}}"" kann nicht in beiden Schemas des Joins gefunden werden","columna ""{{column}}"" no se puede encontrar en ambos esquemas del join","열 ""__column__""은 두 스키마의 조인에서 찾을 수 없음","La colonna ""{{column}}"" non può essere trovata in entrambi gli schemi di join"
db.messages.exec.error-condition-must-be-boolean,condition must be a boolean expression,condição deve ser uma expressão booleana,Bedingung muss ein boolscher Ausdruck sein,condición debe ser una expresión booleana,조건은 불린 대수여야만 함,La condizione deve essere un'espressione booleana
db.messages.exec.error-func-not-defined-for-column-type,{{func}} not defined for type {{colType}},{{func}} não definida para o tipo {{colType}},{{func}} ist nicht für Datentyp {{colType}} definiert,{{func}} no está definido para {{colType}},__func_ _은 타입 __colType__ 을 위해 정의될 수 없음,{{func}} non definito per il tipo {{colType}}
db.messages.exec.error-join-would-produce-non-unique-columns,join would result in non unique column names {{conflicts}},a junção resultaria em nomes de coluna não únicos {{conflicts}},Die folgenden Spalten sind teil beider Relationen: {{conflicts}},Join würde nicht eindeutige Spaltennamen erzeugen,조인은 고유하지 않은 열 이름에서 결과를 냄  조인은 고유하지 않은 열 이름에서 결과를 냄  이 열들은 두 릴레이션 사이에서 나타남: __conflicts__,join darebbe origine a nomi di colonna non univoci {{conflicts}}
db.messages.exec.error-no-columns-match-alias-star,"no columns match ""{{alias}}.*""","nenhuma coluna corresponde a ""{{alias}}.*""","Keine Spalten gefunden für ""{{alias}}.*""", las siguientes columnas aparecen en ambas relaciones: {{conflicts}},"""__alias__.*""와 일치하는 열이 없음","nessuna colonna corrisponde a ""{{alias}}.*"""
db.messages.exec.error-datatype-not-specified-for-col,"datatype for column {{index}} (""{{column}}"") is not specified","tipo de dados para a coluna {{index}} (""{{column}}"") não foi especificado","Datentype für Spalte {{index}} (""{{column}}"") wurde nicht spezifiziert","tipo de dato para columna {{index}} (""{{column}}"") no está especificado","열 __index__의 데이터 타입 (""__column__"")이 구체화되지 않음","il tipo di dati per la colonna {{index}} (""{{column}}"") non è specificato"
db.messages.exec.error-invalid-projection-error,"invalid projection ""{{argument}}"": {{error}}","projeção inválida ""{{argument}}"": {{erro}}","ungültige Projektion ""{{argument}}"": {{error}}","proyección inválida ""{{argument}}"": {{error}}","유효하지 않은 프로젝션 ""__argument__"": __error__","proiezione non valida ""{{argument}}"": {{error}}"
db.messages.exec.error-function-expects-type,"function ""{{func}}"" expects arguments of type ""{{expected}}"" but ""{{given}}"" given","a função ""{{func}}"" espera argumentos do tipo ""{{expected}}"" mas ""{{given}}"" foi dado","Funktion ""{{func}}"" erwartet Argumente vom Typ ""{{expected}}"" aber ""{{given}}"" gefunden","función ""{{func}}"" espera argumentos de tipo ""{{expected}}"" pero ""{{given}}"" fue dado","함수 ""__func__""는 인자 타입  ""__expected__"" 으로 기대하지만  ""__given__"" 이 주어짐","la funzione ""{{func}}"" si aspetta argomenti di tipo ""{{expected}}"" ma ""{{given}}"" è stato specificato"
db.messages.exec.error-could-not-compare-different-types,could not compare value if types are different: {{typeA}} != {{typeB}},não é possível comparar valores de tipos diferentes: {{typeA}}! = {{typeB}},Werte mit unterschiedlichen Datentypen können nicht verglichen werden: {{typeA}} != {{typeB}},no se pudo comparar valor si tipos son diferentes: {{typeA}} != {{typeB}},타입이 다르면 비교할 수 없음: __typeA__ != __typeB__,non è stato possibile confrontare il valore se i tipi sono diversi: {{typeA}} != {{typeB}}
db.messages.exec.error-function-expects-arguments-of-same-type,{{func}} expects all arguments to be of the same type,{{func}} espera que todos os argumentos sejam do mesmo tipo,"Funktion {{func}} erwartet, dass alle Argumente den selben Datentyp haben.",{{func}} espera que todos los argumentos sean del mismo tipo,__func__ 는 모든 인자가 같은 타입으로 기대함,{{func}} si aspetta che tutti gli argomenti siano dello stesso tipo
db.messages.exec.error-case-when-condition-must-be-boolean,the condition of a CASE WHEN must be of type boolean,a condição de um CASE WHEN deve ser uma expressão booleana,Die Bedingung für ein CASE WHEN muss ein boolscher Ausdruck sein,la condición de un CASE WHEN debe ser de tipo booleano,CASE WHEN 조건은 불린 타입이어야 함,la condizione di un CASE WHEN deve essere di tipo booleano
db.messages.exec.error-case-when-expects-results-of-same-type,<i>CASE WHEN condition THEN result END</i> expects all <i>results<i/> to be of the same type,<i>CASE WHEN condição THEN resultado END</i> espera que todos os <i>resultados<i/> sejam do mesmo tipo,<i>CASE WHEN condition THEN result END</i> erwartet dass alle <i>results</> vom selben Typ sind,<i>CASE WHEN condition THEN result END</i> espera todos <i>results<i/> ser del mismo tipo,<i>CASE WHEN condition THEN result END</i>는 모든 <i>결과<i/>가 같은 타입으로 기대함,<i>CASE WHEN condizione THEN risultato END</i> si aspetta che tutti i <i>risultati<i/> siano dello stesso tipo
db.messages.exec.error-invalid-date-format,"""{{str}}""  is not a valid date; expected format: YYYY-MM-DD","""{{str}}"" não é uma data válida; formato esperado: YYYY-MM-DD","""{{str}}"" ist kein gültiges Datum; erwartetes Format: YYYY-MM-DD","""{{str}}""  no es una fecha válido; formato esperado: YYYY-MM-DD","""__str__""  는 유효하지 않은 날짜; 형식: YYYY-MM-DD","""{{str}}"" non è una data valida; formato previsto: AAAA-MM-GG"
db.messages.exec.error-cast-failed,"""{{expr}}"" could not be casted to type {{type}}","""{{expr}}"" não pode ser convertido para tipo {{type}}","""{{expr}}"" konnte nicht in Typ {{type}} umgewandelt werden","""{{expr}}"" no se pudo convertir a tipo ""{{type}}""","""{{expr}}""을(를) {{type}}(으)로 변환할 수 없습니다","""{{expr}}"" non può essere convertito in tipo ""{{type}}"""
db.messages.translate.error-relation-not-found,"could not find relation ""{{name}}""","não foi possível encontrar relação ""{{name}}""","Relation ""{{name}}"" nicht gefunden","no se pudo encontrar relación ""{{name}}""","릴레이션  ""{{name}}""을 찾을 수 없음","Impossibile trovare la relazione ""{{name}}"""
db.messages.translate.error-relation-predicate-not-found,"relation predicate must be defined for variable ""{{variable}}""","predicado relacional deve ser definido para a variável ""{{variable}}""","Relationsprädikat muss für die Variable definiert sein ""{{variable}}""","El predicado relacional debe estar definido para la variable ""{{variable}}""","변수에 대한 관계 술어가 정의되어야 합니다 ""{{variable}}""","relation predicate must be defined for variable ""{{variable}}"""
db.messages.translate.error-relation-predicate-defined-twice,"relation predicate defined twice for variable ""{{variable}}"" ","predicado relacional definido duas vezes para a variável ""{{variable}}"" ","Relationsprädikat wurde für die Variable doppelt definiert ""{{variable}}"" ","El predicado relacional está definido dos veces para la variable ""{{variable}}"" ","변수에 대해 관계 술어가 두 번 정의되었습니다 ""{{variable}}"" ","relation predicate defined twice for variable ""{{variable}}"" "
db.messages.translate.error-trc-unsafe-formula,"cannot negate relation predicate ""{{relation}}({{variable}})"" (unsafe formula) ","não é possível negar um predicado relacional ""{{relation}}({{variable}})"" (formula insegura) ","Relationsprädikat kann nicht negiert werden ""{{relation}}({{variable}})"" (Unsichere Formel) ","No se puede negar el predicado relacional ""{{relation}}({{variable}})"" (Fórmula insegura) ","관계 술어를 부정할 수 없습니다 ""{{relation}}({{variable}})"" (안전하지 않은 공식) ","cannot negate relation predicate ""{{relation}}({{variable}})"" (unsafe formula) "
db.messages.translate.error-trc-unbound-variable,Unbound variables are not supported.,Variáveis não vinculadas não são suportadas.,Ungebundene Variablen werden nicht unterstützt.,Las variables no vinculadas no son compatibles.,지원되지 않는 변수입니다,Unbound variables are not supported.
calc.editors.trc.toolbar.expression,query expression,expressão trc,Abfrageausdruck,expresión de consulta,쿼리 표현식,query expression
calc.editors.trc.toolbar.expression-content,<b>{</b> t <b>|</b> COND(t) <b>}</b>,<b>{</b> t <b>|</b> COND(t) <b>}</b>,<b>{</b> t <b>|</b> COND(t) <b>}</b>,<b>{</b> t <b>|</b> COND(t) <b>}</b>,<b>{</b> t <b>|</b> COND(t) <b>}</b>,<b>{</b> t <b>|</b> COND(t) <b>}</b>
calc.editors.trc.toolbar.membership,relation membership,membro de relação,Beziehungsgliedschaft,pertenencia a una relación,관계 멤버십,relation membership
calc.editors.trc.toolbar.membership-content,t <b>∈</b> R<br>t <b>in</b> R<br>R<b>(</b>t<b>)</b>,t <b>∈</b> R<br>t <b>in</b> R<br>R<b>(</b>t<b>)</b>,t <b>∈</b> R<br>t <b>in</b> R<br>R<b>(</b>t<b>)</b>,t <b>∈</b> R<br>t <b>in</b> R<br>R<b>(</b>t<b>)</b>,t <b>∈</b> R<br>t <b>in</b> R<br>R<b>(</b>t<b>)</b>,t <b>∈</b> R<br>t <b>in</b> R<br>R<b>(</b>t<b>)</b>
calc.editors.trc.toolbar.left-arrow,rename column,renomear coluna,Spalte umbenennen,renombrar columna,열 이름 변경,rename column
calc.editors.trc.toolbar.left-arrow-content,"{ y<b class=""math"">←</b>r.a | R(r) }<br>{ y <b><-</b> r.a | R(r) }","{ y<b class=""math"">←</b>r.a | R(r) }<br>{ y <b><-</b> r.a | R(r) }","{ y<b class=""math"">←</b>r.a | R(r) }<br>{ y <b><-</b> r.a | R(r) }","{ y<b class=""math"">←</b>r.a | R(r) }<br>{ y <b><-</b> r.a | R(r) }","{ y<b class=""math"">←</b>r.a | R(r) }<br>{ y <b><-</b> r.a | R(r) }","{ y<b class=""math"">←</b>r.a | R(r) }<br>{ y <b><-</b> r.a | R(r) }"
calc.editors.trc.toolbar.right-arrow,rename column,renomear coluna,Spalte umbenennen,renombrar columna,열 이름 변경,rename column
calc.editors.trc.toolbar.right-arrow-content,"{ r.a<b class=""math"">→</b>y | R(r) }<br>{ r.a <b>-></b> y | R(r) }","{ r.a<b class=""math"">→</b>y | R(r) }<br>{ r.a <b>-></b> y | R(r) }","{ r.a<b class=""math"">→</b>y | R(r) }<br>{ r.a <b>-></b> y | R(r) }","{ r.a<b class=""math"">→</b>y | R(r) }<br>{ r.a <b>-></b> y | R(r) }","{ r.a<b class=""math"">→</b>y | R(r) }<br>{ r.a <b>-></b> y | R(r) }","{ r.a<b class=""math"">→</b>y | R(r) }<br>{ r.a <b>-></b> y | R(r) }"
calc.editors.trc.toolbar.and,and,e,und,y,그리고,and
calc.editors.trc.toolbar.and-content,"F₁ <b class=""math"">&and;</b> F₂<br>F₁ <b>and</b> F₂","F₁ <b class=""math"">&and;</b> F₂<br>F₁ <b>and</b> F₂","F₁ <b class=""math"">&and;</b> F₂<br>F₁ <b>and</b> F₂","F₁ <b class=""math"">&and;</b> F₂<br>F₁ <b>and</b> F₂","F₁ <b class=""math"">&and;</b> F₂<br>F₁ <b>and</b> F₂","F₁ <b class=""math"">&and;</b> F₂<br>F₁ <b>and</b> F₂"
calc.editors.trc.toolbar.or,or,ou,oder,o,또는,or
calc.editors.trc.toolbar.or-content,"F₁ <b class=""math"">&or;</b> F₂<br>F₁ <b>or</b> F₂","F₁ <b class=""math"">&or;</b> F₂<br>F₁ <b>or</b> F₂","F₁ <b class=""math"">&or;</b> F₂<br>F₁ <b>or</b> F₂","F₁ <b class=""math"">&or;</b> F₂<br>F₁ <b>or</b> F₂","F₁ <b class=""math"">&or;</b> F₂<br>F₁ <b>or</b> F₂","F₁ <b class=""math"">&or;</b> F₂<br>F₁ <b>or</b> F₂"
calc.editors.trc.toolbar.xor,xor,ou exclusivo,Ausschließliches oder,disyunción exclusiva,배타적 또는,xor
calc.editors.trc.toolbar.xor-content,"F₁ <b class=""math"">⊻</b> F₂<br>F₁ <b>xor</b> F₂","F₁ <b class=""math"">⊻</b> F₂<br>F₁ <b>xor</b> F₂","F₁ <b class=""math"">⊻</b> F₂<br>F₁ <b>xor</b> F₂","F₁ <b class=""math"">⊻</b> F₂<br>F₁ <b>xor</b> F₂","F₁ <b class=""math"">⊻</b> F₂<br>F₁ <b>xor</b> F₂","F₁ <b class=""math"">⊻</b> F₂<br>F₁ <b>xor</b> F₂"
calc.editors.trc.toolbar.implies,implication,implicação,Implikation,implicación, 논리적 함의,implication
calc.editors.trc.toolbar.implies-content,F₁ <b>⇒</b> F₂<br>F₁ <b>=></b> F₂<br>F₁ <b>implies</b> F₂,F₁ <b>⇒</b> F₂<br>F₁ <b>=></b> F₂<br>F₁ <b>implies</b> F₂,F₁ <b>⇒</b> F₂<br>F₁ <b>=></b> F₂<br>F₁ <b>implies</b> F₂,F₁ <b>⇒</b> F₂<br>F₁ <b>=></b> F₂<br>F₁ <b>implies</b> F₂,F₁ <b>⇒</b> F₂<br>F₁ <b>=></b> F₂<br>F₁ <b>implies</b> F₂,F₁ <b>⇒</b> F₂<br>F₁ <b>=></b> F₂<br>F₁ <b>implies</b> F₂
calc.editors.trc.toolbar.equivalence,equivalence,equivalência,Äquivalenz,equivalencia,논리적 동등성,equivalence
calc.editors.trc.toolbar.equivalence-content,F₁ <b>⇔</b> F₂<br>F₁ <b><=></b> F₂<br>F₁ <b>iff</b> F₂,F₁ <b>⇔</b> F₂<br>F₁ <b><=></b> F₂<br>F₁ <b>iff</b> F₂,F₁ <b>⇔</b> F₂<br>F₁ <b><=></b> F₂<br>F₁ <b>iff</b> F₂,F₁ <b>⇔</b> F₂<br>F₁ <b><=></b> F₂<br>F₁ <b>iff</b> F₂,F₁ <b>⇔</b> F₂<br>F₁ <b><=></b> F₂<br>F₁ <b>iff</b> F₂,F₁ <b>⇔</b> F₂<br>F₁ <b><=></b> F₂<br>F₁ <b>iff</b> F₂
calc.editors.trc.toolbar.not,not,não,nicth,no,아니오,not
calc.editors.trc.toolbar.not-content,<b>¬</b>(F)<br><b>!</b>(F)<br><b>not</b>(F),<b>¬</b>(F)<br><b>!</b>(F)<br><b>not</b>(F),<b>¬</b>(F)<br><b>!</b>(F)<br><b>not</b>(F),<b>¬</b>(F)<br><b>!</b>(F)<br><b>not</b>(F),<b>¬</b>(F)<br><b>!</b>(F)<br><b>not</b>(F),<b>¬</b>(F)<br><b>!</b>(F)<br><b>not</b>(F)
calc.editors.trc.toolbar.equals,equals,igual,gleich,igual,같음,equals
calc.editors.trc.toolbar.equals-content,tᵢ.A <b>=</b> tⱼ.B<br>tᵢ.A <b>=</b> c,tᵢ.A <b>=</b> tⱼ.B<br>tᵢ.A <b>=</b> c,tᵢ.A <b>=</b> tⱼ.B<br>tᵢ.A <b>=</b> c,tᵢ.A <b>=</b> tⱼ.B<br>tᵢ.A <b>=</b> c,tᵢ.A <b>=</b> tⱼ.B<br>tᵢ.A <b>=</b> c,tᵢ.A <b>=</b> tⱼ.B<br>tᵢ.A <b>=</b> c
calc.editors.trc.toolbar.not-equals,not equals,diferente,ungleich,diferente,같지 않음,not equals
calc.editors.trc.toolbar.not-equals-content,tᵢ.A <b>≠</b> tⱼ.B<br>tᵢ.A <b>!=</b> tⱼ.B<br>tᵢ.A <b><></b> c,tᵢ.A <b>≠</b> tⱼ.B<br>tᵢ.A <b>!=</b> tⱼ.B<br>tᵢ.A <b><></b> c,tᵢ.A <b>≠</b> tⱼ.B<br>tᵢ.A <b>!=</b> tⱼ.B<br>tᵢ.A <b><></b> c,tᵢ.A <b>≠</b> tⱼ.B<br>tᵢ.A <b>!=</b> tⱼ.B<br>tᵢ.A <b><></b> c,tᵢ.A <b>≠</b> tⱼ.B<br>tᵢ.A <b>!=</b> tⱼ.B<br>tᵢ.A <b><></b> c,tᵢ.A <b>≠</b> tⱼ.B<br>tᵢ.A <b>!=</b> tⱼ.B<br>tᵢ.A <b><></b> c
calc.editors.trc.toolbar.greater,greater than,maior que, größer als,mayor que,보다 큼,greater than
calc.editors.trc.toolbar.greater-content,tᵢ.A <b>></b> tⱼ.B<br>tᵢ.A <b>></b> c,tᵢ.A <b>></b> tⱼ.B<br>tᵢ.A <b>></b> c,tᵢ.A <b>></b> tⱼ.B<br>tᵢ.A <b>></b> c,tᵢ.A <b>></b> tⱼ.B<br>tᵢ.A <b>></b> c,tᵢ.A <b>></b> tⱼ.B<br>tᵢ.A <b>></b> c,tᵢ.A <b>></b> tⱼ.B<br>tᵢ.A <b>></b> c
calc.editors.trc.toolbar.lesser,less than,menor que,kleiner als,menor que,보다 작음,less than
calc.editors.trc.toolbar.lesser-content,tᵢ.A <b><</b> tⱼ.B<br>tᵢ.A <b><</b> c,tᵢ.A <b><</b> tⱼ.B<br>tᵢ.A <b><</b> c,tᵢ.A <b><</b> tⱼ.B<br>tᵢ.A <b><</b> c,tᵢ.A <b><</b> tⱼ.B<br>tᵢ.A <b><</b> c,tᵢ.A <b><</b> tⱼ.B<br>tᵢ.A <b><</b> c,tᵢ.A <b><</b> tⱼ.B<br>tᵢ.A <b><</b> c
calc.editors.trc.toolbar.greater-or-equals,greater or equals,maior ou igual,größer oder gleich,mayor o igual que,크거나 같음,greater or equals
calc.editors.trc.toolbar.greater-or-equals-content,tᵢ.A <b>≥</b> tⱼ.B<br>tᵢ.A <b>>=</b> c,tᵢ.A <b>≥</b> tⱼ.B<br>tᵢ.A <b>>=</b> c,tᵢ.A <b>≥</b> tⱼ.B<br>tᵢ.A <b>>=</b> c,tᵢ.A <b>≥</b> tⱼ.B<br>tᵢ.A <b>>=</b> c,tᵢ.A <b>≥</b> tⱼ.B<br>tᵢ.A <b>>=</b> c,tᵢ.A <b>≥</b> tⱼ.B<br>tᵢ.A <b>>=</b> c
calc.editors.trc.toolbar.lesser-or-equals,less than or equal to,menor ou igual,kleiner oder gleich,menor o igual que,작거나 같음,less than or equal to
calc.editors.trc.toolbar.lesser-or-equals-content,tᵢ.A <b>≤</b> tⱼ.B<br>tᵢ.A <b><=</b> c,tᵢ.A <b>≤</b> tⱼ.B<br>tᵢ.A <b><=</b> c,tᵢ.A <b>≤</b> tⱼ.B<br>tᵢ.A <b><=</b> c,tᵢ.A <b>≤</b> tⱼ.B<br>tᵢ.A <b><=</b> c,tᵢ.A <b>≤</b> tⱼ.B<br>tᵢ.A <b><=</b> c,tᵢ.A <b>≤</b> tⱼ.B<br>tᵢ.A <b><=</b> c
calc.editors.trc.toolbar.exists,existential quantifier,quantificador existencial,existentieller Quantor,cuantificador existencial,존재 양화사,existential quantifier
calc.editors.trc.toolbar.exists-content,<b>∃</b>p (F)<br><b>exists</b> p (F)<br>,<b>∃</b>p (F)<br><b>exists</b> p (F)<br>,<b>∃</b>p (F)<br><b>exists</b> p (F)<br>,<b>∃</b>p (F)<br><b>exists</b> p (F)<br>,<b>∃</b>p (F)<br><b>exists</b> p (F)<br>,<b>∃</b>p (F)<br><b>exists</b> p (F)<br>
calc.editors.trc.toolbar.for-all,universal quantifier,quantificador universal,universeller Quantor,cuantificador universal,보편적 양화자,universal quantifier
